Model,Detector,Accuracy
VGG-Face,retinaface,96.17647058823529
VGG-Face,mtcnn,96.76470588235294
VGG-Face,dlib,96.17647058823529
VGG-Face,ssd,94.82758620689656
Facenet,retinaface,94.70588235294117
Facenet,mtcnn,95.0
Facenet,dlib,94.41176470588235
Facenet,ssd,93.44827586206897
ArcFace,retinaface,99.11764705882354
ArcFace,mtcnn,98.82352941176471
ArcFace,dlib,98.23529411764706
ArcFace,ssd,95.86206896551724
Dlib,retinaface,82.6470588235294
Dlib,mtcnn,84.11764705882354
Dlib,dlib,96.17647058823529
Dlib,ssd,75.51724137931033
GhostFaceNet,retinaface,95.58823529411765
GhostFaceNet,mtcnn,95.29411764705881
GhostFaceNet,dlib,74.11764705882354
GhostFaceNet,ssd,94.13793103448276
